1472829721,48.0919,-1.6553
1472829982,48.0933,-1.6582
1472829990,48.0934,-1.6588
1472830790,48.1027,-1.6831
1472831675,48.1025,-1.6829
1472834713,47.5362,-1.6387
1472841995,46.4284,-0.5058
1472844736,46.4285,-0.5059
1472852508,44.6465,-0.4374
1472852814,44.6464,-0.4372
1472859238,43.811,1.3593
1472859577,43.8111,1.3593
1472863352,43.3529,1.8068
1472864705,43.353,1.8068
1472870174,42.5781,2.8476
1472871153,42.5781,2.8475
1472881173,41.425,2.2199
1472882165,41.4249,2.22
1472882793,41.393,2.2043
1472883094,41.393,2.2044
1472884408,41.3828,2.1881
1472884614,41.383,2.188
1472885360,41.3809,2.1865
1472931560,41.38,2.1927
1472972015,41.3799,2.1929
1472972024,41.3795,2.1932
1472972507,41.38,2.1928
1472988805,41.38,2.1927
1473006224,44.405,0.1879
1473006487,44.4054,0.1878
1473007131,44.4054,0.1877
1473007952,44.4054,0.1878
1473020001,47.1601,-1.5123
1473020289,47.16,-1.5123
1473021000,47.2139,-1.6261
1473021900,47.4286,-1.6373
1473024475,48.1124,-1.6073
1473025346,48.0924,-1.6402
1473025688,48.0913,-1.6508
1473025693,48.0913,-1.6514
1473025777,48.0931,-1.6584
1473025781,48.0933,-1.6582
1473025902,48.092,-1.6554
