Place;Date;Subscribed;Finished game;Subscribe check in;Came Check in;Subscribed piscine Juillet;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine april;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine march;Subscribed piscine may;Subscribed piscine june;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october
Fremont;02/25/2016;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/03/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/10/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/17/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/24/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/31/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/07/2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/14/2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/21/2016;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/28/2016;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/05/2016;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/12/2016;1968;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/19/2016;1825;994;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/26/2016;748;417;228;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/02/2016;357;291;168;192;69;37;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/09/2016;378;214;135;132;35;43;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/16/2016;316;178;82;138;24;37;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/23/2016;209;130;72;181;24;54;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/30/2016;215;119;68;62;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/07/2016;222;115;28;77;12;28;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/14/2016;261;132;68;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/21/2016;275;116;55;75;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/28/2016;262;141;59;70;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;08/04/2016;135;79;10;43;0;12;5;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;08/11/2016;902;253;83;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;08/18/2016;270;156;94;174;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;08/25/2016;224;137;71;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;09/01/2016;177;109;43;88;0;0;24;4;0;0;0;0;0;0;0;0;0;0;0
Fremont;09/08/2016;252;124;56;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0
Fremont;09/15/2016;152;97;37;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0
Fremont;09/22/2016;154;85;44;113;0;0;19;34;0;0;0;0;0;0;0;0;0;0;0
Fremont;09/29/2016;110;62;41;38;0;0;13;19;0;0;0;0;0;0;0;0;0;0;0
Fremont;10/06/2016;121;70;24;47;0;0;8;10;0;0;0;0;0;0;0;0;0;0;0
Fremont;10/13/2016;78;47;23;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0
Fremont;10/20/2016;232;88;29;59;0;0;7;15;0;0;0;0;0;0;0;0;0;0;0
Fremont;10/27/2016;202;88;31;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
